loan_id,member_id,funded_amount,monthly_installment,loan_status
L001,M001,5000,162,CURRENT
L002,M002,10000,328,FULLY PAID
L003,M003,15000,487,CURRENT
L004,M004,3000,98,LATE (16-30 days)
L005,M005,20000,652,FULLY PAID
L006,M006,2000,65,CHARGED OFF
L007,M007,12000,390,CURRENT
L008,M008,2500,81,CURRENT
L009,M009,25000,815,FULLY PAID
L010,M010,1500,49,IN GRACE PERIOD
L011,M011,8000,260,CURRENT
L012,M012,18000,586,FULLY PAID
L013,M013,4000,130,CURRENT
L014,M014,1800,59,CHARGED OFF
L015,M015,11000,358,CURRENT
